Date,Price,Open,High,Low,Vol.,Change %
17/05/2024,"49,350.00","49,750.00","50,000.00","49,200.00",1.52M,1.04%
16/05/2024,"48,840.00","49,200.00","50,300.00","48,600.00",2.10M,0.49%
15/05/2024,"48,600.00","49,000.00","49,000.00","48,100.00",1.39M,1.04%
14/05/2024,"48,100.00","48,600.00","49,200.00","48,000.00",1.95M,-1.03%
13/05/2024,"48,600.00","49,100.00","49,500.00","48,500.00",1.66M,-0.92%
10/5/2024,"49,050.00","50,500.00","50,500.00","48,950.00",827.70K,-0.91%
9/5/2024,"49,500.00","49,800.00","50,400.00","49,500.00",970.60K,-0.60%
8/5/2024,"49,800.00","50,300.00","50,800.00","49,750.00",1.06M,-0.40%
7/5/2024,"50,000.00","50,500.00","51,000.00","49,950.00",1.07M,-0.99%
6/5/2024,"50,500.00","49,650.00","50,500.00","49,300.00",1.19M,2.64%
3/5/2024,"49,200.00","50,500.00","50,500.00","49,000.00",700.80K,-0.24%
2/5/2024,"49,320.00","49,300.00","50,500.00","48,850.00",568.70K,0.24%
26/04/2024,"49,200.00","49,600.00","50,300.00","49,100.00",774.50K,-0.81%
25/04/2024,"49,600.00","50,000.00","50,300.00","49,300.00",1.05M,1.12%
24/04/2024,"49,050.00","49,400.00","50,400.00","49,050.00",1.42M,0.04%
23/04/2024,"49,030.00","50,100.00","50,400.00","48,500.00",2.27M,-2.14%
22/04/2024,"50,100.00","48,350.00","50,100.00","48,350.00",1.30M,3.62%
19/04/2024,"48,350.00","48,000.00","49,500.00","47,100.00",2.17M,0.52%
17/04/2024,"48,100.00","50,300.00","51,000.00","48,000.00",1.97M,-4.37%
16/04/2024,"50,300.00","49,800.00","51,200.00","49,450.00",2.35M,1.21%
15/04/2024,"49,700.00","54,000.00","54,500.00","49,700.00",2.54M,-6.93%
12/4/2024,"53,400.00","52,000.00","54,500.00","52,000.00",3.37M,0.75%
11/4/2024,"53,000.00","51,000.00","53,400.00","51,000.00",2.28M,1.65%
10/4/2024,"52,140.00","52,700.00","53,000.00","51,700.00",1.19M,-3.00%
9/4/2024,"53,750.00","51,100.00","53,750.00","50,800.00",1.75M,3.07%
8/4/2024,"52,150.00","50,300.00","52,150.00","50,000.00",904.80K,3.47%
5/4/2024,"50,400.00","51,000.00","51,000.00","50,200.00",1.65M,-1.18%
4/4/2024,"51,000.00","51,200.00","51,800.00","51,000.00",1.09M,-1.73%
