Date,Price,Open,High,Low,Vol.,Change %
17/05/2024,"75,700.00","76,200.00","76,200.00","75,500.00",965.10K,-0.26%
16/05/2024,"75,900.00","76,200.00","76,500.00","75,800.00",1.12M,0.53%
15/05/2024,"75,500.00","75,200.00","75,800.00","74,900.00",883.30K,0.40%
14/05/2024,"75,200.00","76,000.00","76,000.00","74,900.00",785.30K,0.00%
13/05/2024,"75,200.00","75,500.00","76,500.00","75,000.00",630.70K,-0.40%
10/5/2024,"75,500.00","75,400.00","76,800.00","75,000.00",650.90K,-0.79%
9/5/2024,"76,100.00","77,600.00","77,800.00","76,100.00",772.40K,-1.68%
8/5/2024,"77,400.00","76,300.00","77,600.00","75,200.00",1.38M,1.44%
7/5/2024,"76,300.00","75,000.00","76,300.00","74,700.00",1.50M,2.01%
6/5/2024,"74,800.00","74,300.00","75,200.00","74,200.00",890.30K,0.81%
3/5/2024,"74,200.00","73,900.00","74,700.00","73,900.00",514.70K,0.41%
2/5/2024,"73,900.00","73,600.00","74,300.00","68,500.00",692.00K,0.54%
26/04/2024,"73,500.00","74,000.00","74,200.00","73,500.00",774.00K,-0.68%
25/04/2024,"74,000.00","75,000.00","75,000.00","74,000.00",788.50K,-0.80%
24/04/2024,"74,600.00","74,000.00","75,000.00","74,000.00",852.30K,0.54%
23/04/2024,"74,200.00","75,000.00","75,600.00","74,000.00",474.50K,-1.20%
22/04/2024,"75,100.00","75,000.00","75,600.00","74,900.00",799.20K,0.13%
19/04/2024,"75,000.00","76,500.00","76,500.00","74,700.00",884.10K,-0.13%
17/04/2024,"75,100.00","76,000.00","76,500.00","75,000.00",650.10K,-1.18%
16/04/2024,"76,000.00","76,200.00","76,900.00","75,000.00",1.12M,0.00%
15/04/2024,"76,000.00","79,500.00","80,600.00","74,200.00",1.10M,-4.64%
12/4/2024,"79,700.00","79,000.00","79,800.00","78,800.00",360.00K,1.14%
11/4/2024,"78,800.00","77,500.00","79,300.00","77,500.00",645.50K,-1.38%
10/4/2024,"79,900.00","81,300.00","81,300.00","79,200.00",637.90K,0.00%
9/4/2024,"79,900.00","80,000.00","80,500.00","79,500.00",623.60K,0.13%
8/4/2024,"79,800.00","80,900.00","81,000.00","79,100.00",675.70K,-1.36%
5/4/2024,"80,900.00","80,100.00","83,100.00","80,100.00",1.38M,-0.74%
4/4/2024,"81,500.00","81,800.00","82,300.00","81,100.00",751.90K,-0.37%
3/4/2024,"81,800.00","82,500.00","83,400.00","81,600.00",1.76M,-0.85%
2/4/2024,"82,500.00","81,000.00","82,600.00","79,900.00",1.74M,2.36%
1/4/2024,"80,600.00","80,200.00","80,700.00","79,800.00",747.70K,0.50%
29/03/2024,"80,200.00","82,400.00","82,400.00","80,100.00",616.40K,-0.12%
28/03/2024,"80,300.00","81,000.00","81,000.00","79,900.00",774.80K,0.00%
27/03/2024,"80,300.00","81,000.00","81,700.00","80,200.00",847.30K,-0.50%
26/03/2024,"80,700.00","80,100.00","81,000.00","80,000.00",596.50K,0.37%
25/03/2024,"80,400.00","80,800.00","81,400.00","80,000.00",972.90K,-0.12%
22/03/2024,"80,500.00","81,900.00","81,900.00","80,400.00",1.24M,-0.62%
21/03/2024,"81,000.00","81,900.00","81,900.00","80,500.00",938.70K,0.00%
20/03/2024,"81,000.00","80,000.00","81,200.00","79,600.00",1.46M,1.63%
19/03/2024,"79,700.00","81,000.00","81,000.00","79,700.00",950.40K,-0.62%
18/03/2024,"80,200.00","82,300.00","82,900.00","79,900.00",2.49M,-2.55%
