"Date","Price","Open","High","Low","Vol.","Change %"
"17/05/2024","11,250.0","11,150.0","11,300.0","11,000.0","7.17M","0.90%"
"16/05/2024","11,150.0","10,950.0","11,300.0","10,950.0","7.82M","1.36%"
"15/05/2024","11,000.0","10,950.0","11,050.0","10,900.0","5.22M","0.46%"
"14/05/2024","10,950.0","11,000.0","11,050.0","10,950.0","3.29M","-0.45%"
"13/05/2024","11,000.0","10,950.0","11,050.0","10,950.0","3.02M","0.46%"
"10/05/2024","10,950.0","11,100.0","11,150.0","10,950.0","4.90M","-1.35%"
"09/05/2024","11,100.0","11,150.0","11,250.0","11,050.0","3.68M","-0.45%"
"08/05/2024","11,150.0","11,100.0","11,250.0","10,950.0","6.35M","0.45%"
"07/05/2024","11,100.0","10,400.0","11,150.0","10,400.0","3.26M","0.00%"
"06/05/2024","11,100.0","10,950.0","11,200.0","10,950.0","6.15M","1.37%"
"03/05/2024","10,950.0","10,900.0","11,150.0","10,350.0","4.83M","-1.35%"
"02/05/2024","11,100.0","10,500.0","11,150.0","10,500.0","9.03M","5.71%"
"26/04/2024","10,500.0","10,400.0","10,600.0","10,400.0","4.97M","-0.47%"
"25/04/2024","10,550.0","10,650.0","10,700.0","10,500.0","3.36M","-0.94%"
"24/04/2024","10,650.0","10,400.0","10,750.0","10,400.0","5.51M","1.91%"
"23/04/2024","10,450.0","10,750.0","10,750.0","10,400.0","4.95M","-1.88%"
"22/04/2024","10,650.0","10,600.0","10,800.0","10,600.0","3.80M","0.47%"
"19/04/2024","10,600.0","10,950.0","10,950.0","10,600.0","8.54M","-3.20%"
"17/04/2024","10,950.0","10,900.0","11,100.0","10,850.0","6.55M","0.46%"
"16/04/2024","10,900.0","11,250.0","11,250.0","10,800.0","11.23M","-2.24%"
"15/04/2024","11,150.0","11,300.0","11,550.0","11,100.0","13.28M","-0.89%"
"12/04/2024","11,250.0","11,150.0","11,300.0","11,150.0","5.37M","0.45%"
"11/04/2024","11,200.0","11,300.0","11,300.0","11,150.0","5.51M","-0.88%"
"10/04/2024","11,300.0","11,200.0","11,400.0","11,200.0","5.03M","0.00%"
"09/04/2024","11,300.0","11,150.0","11,350.0","11,150.0","4.97M","0.89%"
"08/04/2024","11,200.0","11,250.0","11,400.0","11,200.0","4.05M","-0.44%"
"05/04/2024","11,250.0","11,300.0","11,350.0","11,200.0","7.43M","-0.44%"
"04/04/2024","11,300.0","11,450.0","11,600.0","11,250.0","8.11M","-0.88%"
"03/04/2024","11,400.0","11,550.0","11,650.0","11,350.0","6.92M","-1.30%"
"02/04/2024","11,550.0","11,350.0","11,650.0","11,350.0","8.87M","1.76%"
"01/04/2024","11,350.0","11,400.0","11,450.0","11,350.0","5.41M","-0.87%"
"29/03/2024","11,450.0","11,400.0","11,650.0","11,350.0","4.51M","-0.43%"
"28/03/2024","11,500.0","11,450.0","11,550.0","11,400.0","3.86M","0.44%"
"27/03/2024","11,450.0","11,500.0","11,900.0","11,450.0","5.91M","0.00%"
"26/03/2024","11,450.0","11,400.0","11,500.0","11,300.0","4.59M","0.44%"
"25/03/2024","11,400.0","11,500.0","12,100.0","11,200.0","8.06M","-0.44%"
"22/03/2024","11,450.0","11,500.0","11,550.0","11,350.0","8.54M","0.44%"
"21/03/2024","11,400.0","11,450.0","11,500.0","11,400.0","6.41M","0.00%"
"20/03/2024","11,400.0","11,300.0","11,450.0","11,250.0","5.38M","1.33%"
"19/03/2024","11,250.0","11,300.0","11,400.0","11,200.0","4.14M","-0.44%"
"18/03/2024","11,300.0","11,450.0","11,550.0","11,200.0","12.76M","-1.31%"
"15/03/2024","11,450.0","11,600.0","11,650.0","11,400.0","10.62M","-1.29%"
"14/03/2024","11,600.0","11,600.0","11,700.0","11,550.0","6.98M","0.00%"
"13/03/2024","11,600.0","11,500.0","11,650.0","11,500.0","4.09M","0.87%"
"12/03/2024","11,500.0","11,600.0","11,650.0","11,500.0","5.97M","-0.86%"
"11/03/2024","11,600.0","11,750.0","11,800.0","11,500.0","7.00M","-0.85%"
"08/03/2024","11,700.0","11,900.0","12,050.0","11,700.0","13.57M","-1.27%"
"07/03/2024","11,850.0","11,900.0","11,950.0","11,750.0","5.72M","0.00%"
"06/03/2024","11,850.0","11,800.0","12,100.0","11,800.0","7.86M","0.00%"
"05/03/2024","11,850.0","11,850.0","11,900.0","11,750.0","4.59M","0.00%"
"04/03/2024","11,850.0","11,850.0","11,900.0","11,750.0","7.09M","0.85%"
"01/03/2024","11,750.0","11,650.0","11,750.0","11,600.0","4.80M","0.86%"
"29/02/2024","11,650.0","11,900.0","11,900.0","11,650.0","6.48M","-1.27%"
"28/02/2024","11,800.0","11,850.0","11,900.0","11,750.0","7.06M","0.43%"
"27/02/2024","11,750.0","11,600.0","11,800.0","11,550.0","6.55M","1.73%"
"26/02/2024","11,550.0","11,500.0","11,600.0","11,450.0","6.81M","0.00%"
"23/02/2024","11,550.0","11,800.0","11,850.0","11,500.0","9.33M","-1.70%"
"22/02/2024","11,750.0","11,800.0","11,900.0","11,750.0","5.36M","-0.42%"
"21/02/2024","11,800.0","11,850.0","11,900.0","11,750.0","6.65M","-0.84%"
"20/02/2024","11,900.0","12,050.0","12,250.0","11,850.0","7.68M","-0.83%"
"19/02/2024","12,000.0","11,500.0","12,100.0","11,500.0","22.52M","4.35%"
"16/02/2024","11,500.0","11,450.0","11,500.0","11,400.0","2.90M","0.88%"
"15/02/2024","11,400.0","11,400.0","11,450.0","11,350.0","4.29M","0.44%"
"07/02/2024","11,350.0","11,350.0","11,400.0","11,300.0","2.86M","0.00%"
"06/02/2024","11,350.0","11,300.0","11,350.0","11,250.0","3.94M","0.89%"
"05/02/2024","11,250.0","11,350.0","11,350.0","11,250.0","3.68M","-0.44%"
"02/02/2024","11,300.0","11,400.0","11,400.0","11,300.0","2.62M","-0.44%"
"01/02/2024","11,350.0","11,350.0","11,450.0","11,300.0","2.54M","0.00%"
"31/01/2024","11,350.0","11,550.0","11,550.0","11,350.0","4.57M","-1.30%"
"30/01/2024","11,500.0","11,450.0","11,650.0","11,400.0","7.27M","0.88%"
"29/01/2024","11,400.0","11,450.0","11,500.0","11,400.0","3.35M","0.00%"
"26/01/2024","11,400.0","11,400.0","11,450.0","11,400.0","2.32M","-0.44%"
"25/01/2024","11,450.0","11,400.0","11,450.0","11,350.0","1.76M","0.44%"
"24/01/2024","11,400.0","11,450.0","11,500.0","11,350.0","3.63M","-0.44%"
"23/01/2024","11,450.0","11,550.0","11,600.0","11,400.0","4.09M","-0.87%"
"22/01/2024","11,550.0","11,600.0","11,650.0","11,450.0","4.02M","0.00%"
"19/01/2024","11,550.0","11,450.0","11,600.0","11,450.0","5.92M","1.32%"
"18/01/2024","11,400.0","11,400.0","11,450.0","11,350.0","3.57M","0.00%"
"17/01/2024","11,400.0","11,500.0","11,550.0","11,400.0","4.25M","-0.87%"
"16/01/2024","11,500.0","11,400.0","11,500.0","11,350.0","2.79M","0.88%"
"15/01/2024","11,400.0","11,550.0","11,600.0","11,400.0","4.25M","-0.44%"
"12/01/2024","11,450.0","11,750.0","11,750.0","11,350.0","8.29M","-1.72%"
"11/01/2024","11,650.0","11,400.0","11,800.0","11,400.0","11.45M","2.19%"
"10/01/2024","11,400.0","11,500.0","11,550.0","11,350.0","4.32M","-0.44%"
"09/01/2024","11,450.0","11,400.0","11,450.0","11,350.0","4.06M","0.44%"
"08/01/2024","11,400.0","11,350.0","11,450.0","11,300.0","6.01M","0.88%"
"05/01/2024","11,300.0","11,450.0","11,500.0","11,300.0","4.31M","-1.31%"
"04/01/2024","11,450.0","11,450.0","11,600.0","11,400.0","7.75M","0.44%"
"03/01/2024","11,400.0","11,250.0","11,400.0","11,200.0","4.52M","1.33%"
"02/01/2024","11,250.0","11,300.0","11,350.0","11,200.0","3.50M","0.00%"
"29/12/2023","11,250.0","11,250.0","11,300.0","11,200.0","5.57M","0.00%"
"28/12/2023","11,250.0","11,250.0","11,300.0","11,150.0","2.97M","0.90%"
"27/12/2023","11,150.0","11,350.0","11,350.0","11,150.0","6.91M","-0.89%"
"26/12/2023","11,250.0","11,300.0","11,400.0","11,200.0","3.91M","-0.44%"
"25/12/2023","11,300.0","11,300.0","11,400.0","11,200.0","3.86M","0.44%"
"22/12/2023","11,250.0","11,350.0","11,350.0","11,150.0","4.13M","-0.44%"
"21/12/2023","11,300.0","11,300.0","11,350.0","11,250.0","2.09M","0.00%"
"20/12/2023","11,300.0","11,300.0","11,350.0","11,200.0","2.90M","0.89%"
"19/12/2023","11,200.0","11,100.0","11,250.0","11,100.0","2.56M","0.90%"
"18/12/2023","11,100.0","11,250.0","11,300.0","11,100.0","3.36M","-0.89%"
"15/12/2023","11,200.0","11,350.0","11,400.0","11,200.0","6.93M","-0.88%"
"14/12/2023","11,300.0","11,450.0","11,500.0","11,250.0","3.18M","-0.88%"
"13/12/2023","11,400.0","11,600.0","11,600.0","11,400.0","4.45M","-1.72%"
"12/12/2023","11,600.0","11,650.0","11,700.0","11,500.0","3.00M","0.00%"
"11/12/2023","11,600.0","11,700.0","11,750.0","11,550.0","2.42M","-0.43%"
"08/12/2023","11,650.0","11,600.0","11,850.0","11,550.0","6.57M","1.30%"
"07/12/2023","11,500.0","11,550.0","11,700.0","11,450.0","5.04M","-0.43%"
"06/12/2023","11,550.0","11,500.0","11,600.0","11,450.0","2.32M","0.87%"
"05/12/2023","11,450.0","11,550.0","11,650.0","11,450.0","3.69M","-0.87%"
"04/12/2023","11,550.0","11,350.0","11,600.0","11,300.0","5.67M","2.21%"
"01/12/2023","11,300.0","11,350.0","11,350.0","11,200.0","2.53M","0.44%"
"30/11/2023","11,250.0","11,400.0","11,450.0","11,200.0","4.39M","-0.44%"
"29/11/2023","11,300.0","11,350.0","11,400.0","11,300.0","3.55M","0.00%"
"28/11/2023","11,300.0","11,300.0","11,350.0","11,150.0","4.29M","0.00%"
"27/11/2023","11,300.0","11,400.0","11,450.0","11,300.0","2.24M","-0.88%"
"24/11/2023","11,400.0","11,450.0","11,500.0","11,200.0","6.31M","-0.44%"
"23/11/2023","11,450.0","11,700.0","11,700.0","11,450.0","5.68M","-1.72%"
"22/11/2023","11,650.0","11,700.0","11,700.0","11,500.0","4.81M","-0.43%"
"21/11/2023","11,700.0","11,700.0","11,800.0","11,600.0","2.91M","0.43%"
"20/11/2023","11,650.0","11,550.0","11,700.0","11,450.0","4.70M","0.00%"
"17/11/2023","11,650.0","11,850.0","11,950.0","11,600.0","5.79M","-1.69%"
"16/11/2023","11,850.0","11,800.0","11,850.0","11,650.0","3.79M","0.85%"
"15/11/2023","11,750.0","11,950.0","12,100.0","11,750.0","9.81M","-0.84%"
"14/11/2023","11,850.0","12,000.0","12,000.0","11,700.0","6.81M","-0.42%"
"13/11/2023","11,900.0","11,850.0","12,100.0","11,800.0","12.25M","1.71%"
"10/11/2023","11,700.0","11,750.0","12,000.0","11,600.0","12.13M","1.30%"
"09/11/2023","11,550.0","11,500.0","11,800.0","11,400.0","10.91M","0.43%"
"08/11/2023","11,500.0","11,200.0","11,500.0","11,100.0","5.09M","3.14%"
"07/11/2023","11,150.0","11,200.0","11,300.0","11,100.0","3.18M","-0.89%"
"06/11/2023","11,250.0","11,150.0","11,250.0","11,100.0","4.85M","1.35%"
"03/11/2023","11,100.0","11,150.0","11,200.0","11,000.0","4.79M","0.00%"
"02/11/2023","11,100.0","10,800.0","11,150.0","10,800.0","4.83M","3.74%"
"01/11/2023","10,700.0","10,650.0","10,700.0","10,550.0","3.33M","0.94%"
"31/10/2023","10,600.0","10,900.0","10,950.0","10,600.0","5.34M","-2.30%"
